country,gender,age,relationship_status,freedom_of_choice,satisfaction
Andorra,female,60,married,10,10
Andorra,male,47,living together as married,9,9
Andorra,male,48,separated,9,9
Andorra,female,62,living together as married,9,8
Andorra,male,49,living together as married,8,7
Andorra,female,51,married,10,10
Andorra,female,33,married,10,5
Andorra,male,55,widowed,8,8
Andorra,female,40,single,8,8
Andorra,female,38,living together as married,10,10
Andorra,male,54,married,9,8
Andorra,male,39,married,8,8
Andorra,female,44,living together as married,10,10
Andorra,female,53,married,7,7
Andorra,female,43,separated,10,10
Andorra,male,33,single,3,1
Andorra,male,21,single,7,8
Andorra,female,61,married,10,8
Andorra,female,47,separated,9,8
Andorra,female,51,married,5,9
Andorra,female,43,married,10,10
Andorra,female,38,single,10,10
Andorra,female,30,living together as married,8,9
Andorra,male,18,single,9,9
Andorra,female,18,single,10,7
Andorra,male,39,separated,9,10
Andorra,female,63,married,8,9
Andorra,female,66,married,7,7
Andorra,female,48,married,6,9
Andorra,male,60,married,6,6
Andorra,female,60,married,9,9
Andorra,male,70,married,7,7
Andorra,male,66,living together as married,7,6
Andorra,female,41,living together as married,10,10
Andorra,male,43,separated,8,7
Andorra,male,58,living together as married,1,9
Andorra,male,51,living together as married,9,9
Andorra,female,71,divorced,6,8
Andorra,male,51,living together as married,4,6
Andorra,female,60,married,5,7
Andorra,female,54,separated,3,5
Andorra,female,55,divorced,8,7
Andorra,male,53,divorced,4,7
Andorra,male,47,single,4,5
Andorra,male,43,married,8,7
Andorra,female,47,single,4,6
Andorra,female,29,living together as married,7,4
Andorra,female,29,living together as married,8,8
Andorra,female,27,living together as married,5,3
Andorra,female,66,married,5,5
Andorra,female,61,separated,8,7
Andorra,female,27,single,6,5
Andorra,female,30,living together as married,7,7
Andorra,male,49,single,8,7
Andorra,male,26,single,8,7
Andorra,female,41,divorced,7,7
Andorra,female,71,widowed,9,6
Andorra,female,58,separated,5,8
Andorra,female,60,single,8,8
Andorra,male,37,single,8,8
Andorra,female,58,married,1,8
Andorra,male,32,single,8,8
Andorra,male,28,single,4,5
Andorra,male,48,married,8,8
Andorra,male,37,married,10,9
Andorra,female,35,married,8,7
Andorra,female,31,single,9,6
Andorra,female,47,married,10,9
Andorra,male,27,single,6,7
Andorra,female,57,married,7,7
Andorra,male,34,single,9,9
Andorra,female,55,living together as married,3,7
Andorra,female,22,single,9,10
Andorra,female,55,married,2,5
Andorra,female,51,widowed,5,5
Andorra,female,86,married,2,9
Andorra,female,18,single,8,7
Andorra,male,32,living together as married,10,8
Andorra,female,72,married,1,7
Andorra,female,40,married,3,6
Andorra,female,48,married,3,8
Andorra,female,57,married,3,8
Andorra,male,22,living together as married,6,8
Andorra,female,64,married,1,6
Andorra,female,47,married,4,7
Andorra,female,54,married,10,8
Andorra,female,33,married,9,10
Andorra,female,71,married,1,10
Andorra,male,66,married,5,8
Andorra,female,49,married,10,10
Andorra,female,53,separated,9,10
Andorra,female,39,married,10,10
Andorra,female,52,married,1,6
Andorra,female,30,married,8,6
Andorra,female,49,living together as married,8,9
Andorra,female,68,married,9,9
Andorra,male,36,single,8,9
Andorra,female,37,married,9,9
